Index,Lesson Title,English text,Phonetic translation,Original language translation,Audio File Name,Audio URL
1,1 [one] People,1 [one],1 [Ēka],१ [एक],[sound:book2-MR-SOUND-0001.mp3],https://www.book2.nl/book2/MR/SOUND/0001.mp3
2,1 [one] People,People,[lōka],लोक,[sound:book2-MR-SOUND-0002.mp3],https://www.book2.nl/book2/MR/SOUND/0002.mp3
3,1 [one] People,I,mī,मी,[sound:book2-MR-SOUND-0003.mp3],https://www.book2.nl/book2/MR/SOUND/0003.mp3
4,1 [one] People,I and you,mī āṇi tū,मी आणि तू,[sound:book2-MR-SOUND-0004.mp3],https://www.book2.nl/book2/MR/SOUND/0004.mp3
5,1 [one] People,both of us,āmhī dōghē,आम्ही दोघे,[sound:book2-MR-SOUND-0005.mp3],https://www.book2.nl/book2/MR/SOUND/0005.mp3
6,1 [one] People,he,tō,तो,[sound:book2-MR-SOUND-0006.mp3],https://www.book2.nl/book2/MR/SOUND/0006.mp3
7,1 [one] People,he and she,tō āṇi tī,तो आणि ती,[sound:book2-MR-SOUND-0007.mp3],https://www.book2.nl/book2/MR/SOUND/0007.mp3
8,1 [one] People,they both,tī dōghēhī,ती दोघेही,[sound:book2-MR-SOUND-0008.mp3],https://www.book2.nl/book2/MR/SOUND/0008.mp3
9,1 [one] People,the man,(tō) purūṣa,(तो) पुरूष,[sound:book2-MR-SOUND-0009.mp3],https://www.book2.nl/book2/MR/SOUND/0009.mp3
10,1 [one] People,the woman,(tī) strī,(ती) स्त्री,[sound:book2-MR-SOUND-0010.mp3],https://www.book2.nl/book2/MR/SOUND/0010.mp3
11,1 [one] People,the child,(tē) mūla,(ते) मूल,[sound:book2-MR-SOUND-0011.mp3],https://www.book2.nl/book2/MR/SOUND/0011.mp3
12,1 [one] People,a family,kuṭumba,कुटुंब,[sound:book2-MR-SOUND-0012.mp3],https://www.book2.nl/book2/MR/SOUND/0012.mp3
13,1 [one] People,my family,mājhē kuṭumba,माझे कुटुंब,[sound:book2-MR-SOUND-0013.mp3],https://www.book2.nl/book2/MR/SOUND/0013.mp3
14,1 [one] People,My family is here.,mājhē kuṭumba ithē āhē.,माझे कुटुंब इथे आहे.,[sound:book2-MR-SOUND-0014.mp3],https://www.book2.nl/book2/MR/SOUND/0014.mp3
15,1 [one] People,I am here.,Mī ithē āhē.,मी इथे आहे.,[sound:book2-MR-SOUND-0015.mp3],https://www.book2.nl/book2/MR/SOUND/0015.mp3
16,1 [one] People,You are here.,Tū ithē āhēsa.,तू इथे आहेस.,[sound:book2-MR-SOUND-0016.mp3],https://www.book2.nl/book2/MR/SOUND/0016.mp3
17,1 [one] People,He is here and she is here.,Tō ithē āhē āṇi tī ithē āhē.,तो इथे आहे आणि ती इथे आहे.,[sound:book2-MR-SOUND-0017.mp3],https://www.book2.nl/book2/MR/SOUND/0017.mp3
18,1 [one] People,We are here.,Āmhī ithē āhōta.,आम्ही इथे आहोत.,[sound:book2-MR-SOUND-0018.mp3],https://www.book2.nl/book2/MR/SOUND/0018.mp3
19,1 [one] People,You are here.,Tumhī (dōghē/ sarva) ithē āhāta.,तुम्ही (दोघे / सर्व) इथे आहात.,[sound:book2-MR-SOUND-0019.mp3],https://www.book2.nl/book2/MR/SOUND/0019.mp3
20,1 [one] People,They are all here.,Tē sagaḷē ithē āhēta.,ते सगळे इथे आहेत.,[sound:book2-MR-SOUND-0020.mp3],https://www.book2.nl/book2/MR/SOUND/0020.mp3
21,2 [two] Family Members,2 [two],2 [Dōna],२ [दोन],[sound:book2-MR-SOUND-0021.mp3],https://www.book2.nl/book2/MR/SOUND/0021.mp3
22,2 [two] Family Members,Family Members,[kuṭumbīya],कुटुंबीय,[sound:book2-MR-SOUND-0022.mp3],https://www.book2.nl/book2/MR/SOUND/0022.mp3
